clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,fertile,JJ,NA,fertil,fat|fecund|fertile|productive|prolific|rich,
1,nile,NNP,NA,nile,Nile|Nile River,
1,valley,NNP,NA,vallei,vale|valley,natural depression|depression
1,have,VBZ,s,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
1,support,VBN,ed,support,abide|affirm|back|back up|bear|bear out|brook|confirm|corroborate|defend|digest|endorse|endure|fend for|hold|hold up|indorse|keep going|patronage|patronise|patronize|plump for|plunk for|put up|stand|stick out|stomach|subscribe|substantiate|suffer|support|sustain|tolerate|underpin,give|approve|O.K.|okay|sanction|agree|hold|concur|concord|match|fit|correspond|check|jibe|gibe|tally|argue|reason|act|play|represent|foster|nurture|permit|allow|let|countenance
1,human,JJ,NA,human,human,
1,life,NN,NA,life,aliveness|animation|biography|life|life history|life sentence|life story|life-time|lifespan|lifetime|liveliness|living|spirit|sprightliness,being|beingness|existence|face of the earth|experience|time period|period of time|period|person|individual|someone|somebody|mortal|soul|animation|spiritedness|invigoration|brio|vivification|living thing|animate thing|organic phenomenon|history|account|chronicle|story|motivation|motive|need|prison term|sentence|time
1,8,CD,NA,8,NA,NA
1,000,CD,NA,000,NA,NA
1,year,NNS,s,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
2,stone,NNP,NA,stone,Edward Durell Stone|endocarp|gem|gemstone|Harlan F. Stone|Harlan Fisk Stone|Harlan Fiske Stone|Harlan Stone|I. F. Stone|Isidor Feinstein Stone|Lucy Stone|Oliver Stone|pit|rock|stone|Stone,natural object|building material|material|stuff|crystal|avoirdupois unit|pericarp|seed vessel|coldness|coolness|frigidity|frigidness|iciness|chilliness
2,age,NNP,NA,ag,age|eld|geezerhood|historic period|long time|old age|years,property|era|epoch|time of life|time period|period of time|period
2,settler,NNS,s,settler,colonist|settler,migrant|migrator|negotiator|negotiant|treater|clerk
2,develop,VBN,ed,develop,acquire|arise|break|build up|develop|educate|evolve|explicate|formulate|germinate|get|grow|make grow|modernise|modernize|originate|prepare|produce|recrudesce|rise|spring up|train|uprise,create|create by mental act|create mentally|change|become|better|improve|amend|ameliorate|meliorate|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose|teach|learn|instruct|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|grow|alter|modify|generate|bring forth|superimpose|superpose|lay over|play|complicate|refine|rarify|elaborate|expand
2,hunter,NNS,s,hunter,hunter|Hunter|hunting watch|huntsman|Orion,skilled worker|trained worker|skilled workman|seeker|searcher|quester|diffuse nebula|gaseous nebula|watch|ticker
2,farmer,NNS,s,farmer,Fannie Farmer|Fannie Merritt Farmer|farmer|Farmer|granger|husbandman|James Leonard Farmer|sodbuster,creator
2,grow,VBG,ing,grow,acquire|arise|develop|farm|get|grow|maturate|mature|originate|produce|raise|rise|spring up|turn|uprise,change|increase|develop|make grow|become|cultivate
2,barley,NN,NA,barlei,barley|barleycorn,grain|food grain|cereal|cereal grass
2,wheat,NN,NA,wheat,pale yellow|straw|wheat|wheat berry,cereal|cereal grass|grain|food grain|yellow|yellowness
2,crop,NNS,s,crop,craw|crop|harvest,output|yield|plant|flora|plant life|collection|aggregation|accumulation|assemblage|end product|handle|grip|handgrip|hold|stomach|tummy|tum|breadbasket
