clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,former,JJ,NA,former,early(a)|erstwhile(a)|former(a)|late(a)|old|one-time(a)|onetime(a)|other(a)|previous(a)|quondam(a)|sometime(a),
1,prosecutor,NN,NA,prosecutor,prosecuting attorney|prosecuting officer|prosecutor|public prosecutor,official|functionary|lawyer|attorney
1,michael,NNP,NA,michael,Michael,archangel
1,mazzariello,NNP,NA,mazzariello,,NA
1,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
1,finally,RB,NA,final,at last|at long last|eventually|finally|in conclusion|in the end|last|lastly|ultimately,
1,do,VBG,ing,do,act|answer|arrange|behave|cause|coif|coiffe|coiffure|come|do|dress|execute|exercise|fare|get along|make|make out|manage|perform|practice|practise|serve|set|suffice,NA
1,kind,NN,NA,kind,form|kind|sort|variety,category
1,legal,JJ,NA,legal,effectual|legal|sound,
1,work,NN,NA,work,body of work|employment|oeuvre|piece of work|study|work|workplace,activity|product|production|occupation|business|job|line of work|line|learning|acquisition|energy|free energy|geographic point|geographical point|end product|output
1,alway,RB,s,alwai,,NA
1,dream,VBD,ed,dream,daydream|dream|stargaze|woolgather,imagine|conceive of|ideate|envisage|perceive|comprehend
1,less,JJR,NA,less,less|less(a),
1,year,NN,NA,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
1,help,VBG,ing,help,aid|assist|avail|facilitate|help|help oneself|serve,support|back up|better|improve|amend|ameliorate|meliorate|serve|refrain|forbear|provide|supply|ply|cater|promote|advance|boost|further|encourage|exploit|work
1,east,NNP,NA,east,due east|E|east|East|eastern United States|eastward|Orient,cardinal compass point|direction|location
1,new,NNP,NA,new,,NA
1,york,NNP,NA,york,House of York|York,dynasty|royalty|royal family|royal line|royal house
1,poor,JJ,NA,poor,hapless|inadequate|jejune|miserable|misfortunate|pathetic|piteous|pitiable|pitiful|poor|short|wretched,
1,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
1,get,VBG,ing,get,acquire|aim|amaze|arrest|arrive|baffle|beat|become|beget|begin|bewilder|bring|bring forth|bugger off|buzz off|capture|catch|cause|come|commence|contract|convey|develop|draw|drive|dumbfound|engender|experience|father|fetch|find|fix|flummox|fuck off|generate|get|get down|get under one's skin|go|gravel|grow|have|incur|induce|let|make|mother|mystify|nonplus|obtain|pay back|pay off|perplex|pose|produce|puzzle|receive|scram|set about|set out|sire|start|start out|stick|stimulate|stupefy|suffer|sustain|take|vex,change state|turn|make|get|change|transmit|transfer|transport|channel|channelize|channelise|undergo|get even|get back|score|hit|tally|rack up|seize|prehend|clutch|sicken|come down|communicate|intercommunicate|alter|modify|mean|intend|understand|attract|pull|pull in|draw|draw in|acquire|buy|purchase|hear|hurt|ache|suffer|leave|go forth|go away|catch|annoy|rag|get to|bother|get at|irritate|rile|nark|nettle|gravel|vex|chafe|devil|touch|stir|reproduce|effect|effectuate|set up|destroy|ruin|confuse|throw|fox|befuddle|fuddle|bedevil|confound|discombobulate|experience|receive|have|create
1,booted,JJ,NA,boot,booted,
1,bodega,NN,NA,bodega,bodega,shop|store
1,turn,VBD,ed,turn,become|bend|call on|change by reversal|change state|deform|ferment|flex|grow|move around|plough|plow|release|reverse|rick|sour|sprain|turn|turn over|twist|work|wrench|wrick,move|change|transform|transmute|metamorphose|displace|travel|go|locomote|transmit|transfer|transport|channel|channelize|channelise|send|direct|till|shape|form|turn|grow|discolor|discolour|colour|color|injure|wound|alter|modify|do|perform|get|acquire|change shape|change form|deform|operate|control|aim|take|train|take aim|appeal|invoke|change state|senesce|age|get on|mature|maturate
1,office,NN,NA,offic,agency|authority|berth|billet|bureau|business office|federal agency|function|government agency|office|office staff|part|place|position|post|power|role|situation|spot,place of business|business establishment|administrative unit|administrative body|duty|state|staff|rite|religious rite|occupation|business|job|line of work|line
2,nearly,RB,NA,nearli,about|almost|closely|intimately|most|near|nearly|nigh|virtually|well-nigh,NA
2,year,NN,NA,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
2,ago,RB,NA,ago,ago,NA
2,mazzariello,NNP,NA,mazzariello,,NA
2,former,JJ,NA,former,early(a)|erstwhile(a)|former(a)|late(a)|old|one-time(a)|onetime(a)|other(a)|previous(a)|quondam(a)|sometime(a),
2,assistant,NN,NA,assist,assistant|help|helper|supporter,worker
2,district,NN,NA,district,district|dominion|territorial dominion|territory,region
2,attorney,NN,NA,attornei,attorney|lawyer,professional|professional person
2,grow,VBD,ed,grow,acquire|arise|develop|farm|get|grow|maturate|mature|originate|produce|raise|rise|spring up|turn|uprise,change|increase|develop|make grow|become|cultivate
2,up,RB,NA,up,up|upward|upwardly|upwards,NA
2,east,NNP,NA,east,due east|E|east|East|eastern United States|eastward|Orient,cardinal compass point|direction|location
2,new,NNP,NA,new,,NA
2,york,NNP,NA,york,House of York|York,dynasty|royalty|royal family|royal line|royal house
2,start,VBD,ed,start,begin|bug out|bulge|bulge out|come out|commence|depart|embark on|get|get down|get going|go|initiate|jump|lead off|originate|part|pop|pop out|protrude|set about|set forth|set off|set out|start|start out|start up|startle|take off|take up,leave|go forth|go away|make|create|begin|lead off|start|commence|move|play|be|act|change shape|change form|deform
2,nonprofit,JJ,NA,nonprofit,non-profit-making|nonprofit,
2,practice,NN,NA,practic,drill|exercise|pattern|practice|practice session|praxis|recitation,activity|training|preparation|grooming|implementation|effectuation|use|usage|utilization|utilisation|employment|exercise|cognition|knowledge|noesis
2,help,VBG,ing,help,aid|assist|avail|facilitate|help|help oneself|serve,support|back up|better|improve|amend|ameliorate|meliorate|serve|refrain|forbear|provide|supply|ply|cater|promote|advance|boost|further|encourage|exploit|work
2,working,NN,NA,work,working|workings,excavation
2,poor,JJ,NA,poor,hapless|inadequate|jejune|miserable|misfortunate|pathetic|piteous|pitiable|pitiful|poor|short|wretched,
2,navigate,VB,NA,navig,navigate|pilot|sail|voyage,travel|journey|steer|maneuver|manoeuver|manoeuvre|direct|point|head|guide|channelize|channelise
2,legal,JJ,NA,legal,effectual|legal|sound,
2,system,NN,NA,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness
3,immigration,NNP,NA,immigr,immigration|in-migration,migration|body
3,landlord-tenant,JJ,NA,landlord-ten,,NA
3,dispute,NNS,s,disput,conflict|contravention|difference|difference of opinion|dispute,disagreement|resistance
3,even,RB,NA,even,even|still|yet,NA
3,criminal,JJ,NA,crimin,condemnable|criminal|deplorable|felonious|reprehensible|vicious,
3,case,NNS,s,case,case|caseful|casing|causa|cause|character|compositor's case|display case|eccentric|event|example|face|font|fount|grammatical case|guinea pig|instance|lawsuit|pillow slip|pillowcase|sheath|shell|showcase|slip|subject|suit|type|typeface|typesetter's case|vitrine,happening|occurrence|occurrent|natural event|circumstance|proceeding|legal proceeding|proceedings|fact|container|person|individual|someone|somebody|mortal|soul|problem|argument|statement|containerful|grammatical category|syntactic category|state of mind|frame of mind|adult|grownup|type|covering|natural covering|cover|housing|framework|frame|receptacle|bed linen
3,be,VBP,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
3,specialty,NN,NA,specialti,distinctiveness|forte|long suit|metier|peculiarity|specialisation|specialism|speciality|specialization|specialness|specialty|strength|strong point|strong suit,asset|plus|individuality|individualism|individuation|career|calling|vocation
3,east,NNP,NA,east,due east|E|east|East|eastern United States|eastward|Orient,cardinal compass point|direction|location
3,new,NNP,NA,new,,NA
3,york,NNP,NA,york,House of York|York,dynasty|royalty|royal family|royal line|royal house
3,legal,NNP,NA,legal,,NA
3,service,NNP,s,servic,armed service|avail|divine service|help|inspection and repair|military service|overhaul|religious service|Robert William Service|serve|service|Service|service of process|servicing|serving|table service,work|aid|assist|assistance|help|religious ceremony|religious ritual|company|employment|force|personnel|helpfulness|tableware|coupling|mating|pairing|conjugation|union|sexual union|activity|tennis stroke|tennis shot|delivery|bringing|care|maintenance|upkeep|accommodation
3,corp,NNP,NA,corp,corp|corporation,firm|house|business firm
3,new,NNP,NA,new,,NA
3,lot,NNS,s,lot,band|batch|bunch|caboodle|circle|circumstances|deal|destiny|draw|fate|flock|fortune|good deal|great deal|hatful|heap|lot|Lot|luck|mass|mess|mickle|mint|mountain|muckle|passel|peck|pile|plenty|portion|pot|quite a little|raft|set|sight|slew|spate|stack|tidy sum|wad,large indefinite quantity|large indefinite amount|tract|piece of land|piece of ground|parcel of land|parcel|social group|condition|object|physical object|collection|aggregation|accumulation|assemblage
3,ave,NNP,NA,av,,NA
4,office,NN,NA,offic,agency|authority|berth|billet|bureau|business office|federal agency|function|government agency|office|office staff|part|place|position|post|power|role|situation|spot,place of business|business establishment|administrative unit|administrative body|duty|state|staff|rite|religious rite|occupation|business|job|line of work|line
4,former,JJ,NA,former,early(a)|erstwhile(a)|former(a)|late(a)|old|one-time(a)|onetime(a)|other(a)|previous(a)|quondam(a)|sometime(a),
4,bodega,NN,NA,bodega,bodega,shop|store
4,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
4,mazzariello,NNP,NA,mazzariello,,NA
4,idea,NN,NA,idea,approximation|estimate|estimation|idea|melodic theme|mind|musical theme|theme|thought,content|cognitive content|mental object|purpose|intent|intention|aim|design|opinion|sentiment|persuasion|view|thought|calculation|computation|figuring|reckoning|tune|melody|air|strain|melodic line|line|melodic phrase
