token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
complex,complex,NOUN,68,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction,S0020025508004520,S0020025508004520_68
networks,network,NOUN,68,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_68
concepts,concept,NOUN,68,concept,concept|conception|construct,idea|thought,S0020025508004520,S0020025508004520_68
considered,consider,VERB,68,consid,believe|conceive|consider|count|deal|debate|deliberate|look at|moot|reckon|regard|see|study|take|think|turn over|view|weigh,think|believe|consider|conceive|chew over|think over|meditate|ponder|excogitate|contemplate|muse|reflect|mull|mull over|ruminate|speculate|think about|hash out|discuss|talk over|evaluate|pass judgment|judge|look|analyze|analyse|study|examine|canvass|see|reckon|view|regard,S0020025508004520,S0020025508004520_68
potentially,potentially,ADV,68,potenti,potentially,NA,S0020025508004520,S0020025508004520_68
useful,useful,ADJ,68,us,useful|utile|utilitarian,NA,S0020025508004520,S0020025508004520_68
summarization,summarization,NOUN,68,summar,summarisation|summarization,report|account,S0020025508004520,S0020025508004520_68
task,task,NOUN,68,task,chore|job|labor|project|task|undertaking,work|duty,S0020025508004520,S0020025508004520_68
offer,offer,NOUN,68,offer,crack|fling|go|offer|offering|pass|whirl,speech act|message|content|subject matter|substance|attempt|effort|endeavor|endeavour|try,S0020025508004520,S0020025508004520_68
different,different,ADJ,68,differ,different,NA,S0020025508004520,S0020025508004520_68
often,often,ADV,68,often,a great deal|frequently|much|oft|often|oftentimes|ofttimes,NA,S0020025508004520,S0020025508004520_68
complementary,complementary,ADJ,68,complementari,complemental|complementary|completing,NA,S0020025508004520,S0020025508004520_68
views,views,NOUN,68,view,NA,NA,S0020025508004520,S0020025508004520_68
network,network,NOUN,68,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_68
