token,lemma,upos,clique,stem,synonyms,hypernyms
keywords,keyword,NOUN,1,keyword,,NA
special,special,ADJ,1,special,especial(a)|exceptional|extra|limited|particular|particular(a)|peculiar(a)|special|special(a),
words,word,NOUN,1,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text
typically,typically,ADV,1,typic,typically,
embedded,embed,VERB,1,emb,embed|engraft|imbed|implant|plant,insert|infix|enter|introduce|group|aggroup
documents,document,NOUN,1,document,document|papers|text file|written document,writing|written material|piece of writing|representation|communication|computer file
provide,provide,VERB,1,provid,allow|allow for|bring home the bacon|cater|furnish|leave|offer|ply|provide|put up|render|supply,give|stipulate|qualify|condition|specify|engage|wage|yield|afford|support|fix|prepare|set up|ready|gear up|set
compact,compact,ADJ,1,compact,compact|compendious|heavyset|stocky|succinct|summary|thick|thickset,
precise,precise,NOUN,1,precis,,NA
representation,representation,NOUN,1,represent,agency|delegacy|histrionics|internal representation|mental representation|representation|theatrical|theatrical performance,content|cognitive content|mental object|creation|cooperation|state|body|statement|performance|public presentation|right|activity
document,document,NOUN,1,document,document|papers|text file|written document,writing|written material|piece of writing|representation|communication|computer file
content,content,NOUN,1,content,capacity|cognitive content|content|contentedness|contents|depicted object|mental object|message|subject|subject matter|substance,collection|aggregation|accumulation|assemblage|communication|proportion|volume|cognition|knowledge|noesis|acceptance|thing
author,author,NOUN,2,author,author|generator|source|writer,communicator|maker|shaper
specified,specify,VERB,2,specifi,assign|condition|define|delimit|delimitate|delineate|designate|destine|determine|fix|intend|limit|nail down|narrow|narrow down|particularise|particularize|peg down|pin down|qualify|set|set apart|specialise|specialize|specify|stipulate,contract|undertake|choose|take|select|pick out|be|elaborate|lucubrate|expatiate|exposit|enlarge|flesh out|expand|expound|dilate|determine|plan
keywords,keyword,NOUN,2,keyword,,NA
research,research,NOUN,2,research,enquiry|inquiry|research,investigation|investigating|problem solving
articles,article,NOUN,2,articl,article|clause,nonfiction|nonfictional prose|piece|artifact|artefact|section|subdivision|determiner|determinative
blogs,blog,NOUN,2,blog,blog|web log,diary|journal
only,only,ADV,2,onli,alone|but|entirely|exclusively|just|merely|only|only if|only when|simply|solely,NA
convey,convey,NOUN,2,convei,,NA
topics,topic,NOUN,2,topic,issue|matter|subject|theme|topic,message|content|subject matter|substance|cognitive content|mental object
document,document,NOUN,2,document,document|papers|text file|written document,writing|written material|piece of writing|representation|communication|computer file
covers,cover,NOUN,2,cover,back|binding|blanket|book binding|concealment|cover|cover charge|cover song|cover version|covering|covering fire|covert|masking|natural covering|screen|screening|top,covering|bedclothes|bed clothing|bedding|concealment|concealing|hiding|protective covering|protective cover|protection|natural object|fire|firing|fixed charge|fixed cost|fixed costs|recording
also,also,ADV,2,also,also|as well|besides|likewise|too,NA
used,use,VERB,2,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
search,search,VERB,2,search,explore|look|look for|research|search|seek,examine|see|investigate|look into
engines,engine,NOUN,2,engin,engine|locomotive|locomotive engine|railway locomotive,motor|causal agent|cause|causal agency|self-propelled vehicle|instrument
databases,database,NOUN,2,databas,database,information|info
efficiently,efficiently,ADV,2,effici,efficiently|expeditiously,
locate,locate,NOUN,2,locat,,NA
information,information,NOUN,2,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
keywords,keyword,NOUN,3,keyword,,NA
also,also,ADV,3,also,also|as well|besides|likewise|too,NA
used,use,VERB,3,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
categorizing,categorize,NOUN,3,categor,,NA
clustering,cluster,NOUN,3,cluster,bunch|clump|cluster|clustering,agglomeration
stories,story,NOUN,3,stori,account|chronicle|fib|floor|history|level|narration|narrative|news report|report|storey|story|tale|taradiddle|tarradiddle|write up,message|content|subject matter|substance|fiction|structure|construction|record|news|lie|prevarication
