token,lemma,upos,clique,stem,synonyms,hypernyms
photoacoustic,photoacoustic,ADJ,1,photoacoust,,NA
pam,pam,NOUN,1,pam,,NA
described,describe,VERB,1,describ,account|delineate|depict|describe|discover|distinguish|draw|identify|key|key out|line|name|report|trace,set forth|expound|exposit|inform|mark
as,as,ADV,1,a,as|equally|every bit,
kind,kind,ADV,1,kind,,NA
hybrid,hybrid,NOUN,1,hybrid,cross|crossbreed|hybrid|loan-blend|loanblend,word|complex|composite|organism|being
biomedical,biomedical,ADJ,1,biomed,biomedical,
imaging,image,VERB,1,imag,envision|fancy|figure|image|picture|project|see|visualise|visualize,visualize|visualise|imagine|conceive of|ideate|envisage
modality,modality,NOUN,1,modal,modality|mode|mood|sense modality|sensory system,logical relation|grammatical relation|sense|sensation|sentience|sentiency|sensory faculty|treatment|intervention
based,base,VERB,1,base,base|establish|found|free-base|ground,situate|locate|drug|do drugs
combining,combine,VERB,1,combin,aggregate|blend|coalesce|combine|commingle|compound|conflate|flux|fuse|immix|meld|merge|mix|unite,have|feature|add|mix|mingle|commix|unify|amalgamate|contribute|give|chip in|kick in|interact|change integrity
ultrasonic,ultrasonic,ADJ,1,ultrason,supersonic|ultrasonic,
emission,emission,NOUN,1,emiss,discharge|emanation|emission|expelling,egress|egression|emergence|material|stuff|release|bodily process|body process|bodily function|activity|flow|flowing
optical,optical,ADJ,1,optic,ocular|ophthalmic|optic|optical|visual,
excitation,excitation,NOUN,1,excit,excitation|excitement|fervor|fervour|inflammation|innervation|irritation,emotional arousal|arousal|rousing
pam,pam,NOUN,2,pam,,NA
short,short,ADJ,2,short,brusk|brusque|curt|forgetful|inadequate|jejune|light|little|myopic|poor|scant(p)|short|short(p)|shortsighted|unforesightful|unretentive,
pulse,pulse,NOUN,2,puls,beat|heart rate|heartbeat|impulse|pulsation|pulse|pulse rate|pulsing,wave|undulation|periodic event|recurrent event|vital sign|rate|legume
laser,laser,NOUN,2,laser,laser|optical maser,optical device
absorbed,absorb,VERB,2,absorb,absorb|assimilate|draw|engage|engross|engulf|imbibe|immerse|ingest|occupy|plunge|soak up|sop up|steep|suck|suck up|take in|take over|take up,sorb|take up|learn|larn|acquire|fund|blend|flux|mix|conflate|commingle|immix|fuse|coalesce|meld|combine|merge|concentrate|focus|center|centre|pore|rivet|receive|take in|invite|interest
biological,biological,ADJ,2,biolog,biologic|biological|natural,
tissues,tissue,NOUN,2,tissu,tissue|tissue paper,body part|paper
inducing,induce,VERB,2,induc,bring on|cause|get|hasten|have|induce|induct|make|rush|stimulate,generate|bring forth|effect|effectuate|set up|reason|reason out|conclude|produce|bring about|give rise
photothermal,photothermal,ADJ,2,phototherm,,NA
effect,effect,NOUN,2,effect,burden|consequence|core|effect|essence|event|force|gist|impression|issue|outcome|result|upshot,phenomenon|appearance|visual aspect|impression|feeling|belief|notion|opinion|meaning|significance|signification|import|validity|validness|symptom
includes,include,VERB,2,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance
thermal,thermal,ADJ,2,thermal,caloric|thermal|thermic,
elastic,elastic,ADJ,2,elast,elastic|flexible|pliable|pliant,
expansion,expansion,NOUN,2,expans,elaboration|enlargement|expanding upon|expansion,increase|step-up|function|mathematical function|single-valued function|map|mapping|discussion|treatment|discourse
generates,generate,VERB,2,gener,beget|bring forth|engender|father|generate|get|give|mother|render|return|sire|yield,make|create|produce
ultrasonic,ultrasonic,ADJ,2,ultrason,supersonic|ultrasonic,
pressure,pressure,NOUN,2,pressur,air pressure|atmospheric pressure|force per unit area|imperativeness|insistence|insistency|press|pressing|pressure|pressure level|pressure sensation,physical phenomenon|force|push|pushing|urgency|somesthesia|somaesthesia|somatesthesia|somatic sensation|distress|gas pressure
rising,rise,VERB,3,rise,arise|ascend|climb|climb up|come up|develop|get up|go up|grow|heighten|jump|lift|mount|move up|originate|prove|rear|rebel|resurrect|rise|rise up|spring up|stand up|surface|turn out|uprise|wax,NA
pressure,pressure,NOUN,3,pressur,air pressure|atmospheric pressure|force per unit area|imperativeness|insistence|insistency|press|pressing|pressure|pressure level|pressure sensation,physical phenomenon|force|push|pushing|urgency|somesthesia|somaesthesia|somatesthesia|somatic sensation|distress|gas pressure
emits,emit,NOUN,3,emit,,NA
photoacoustic,photoacoustic,ADJ,3,photoacoust,,NA
pa,pa,NOUN,3,pa,atomic number 91|dad|dada|daddy|Keystone State|P.A.|P.A. system|pa|Pa|PA|PA system|Pa.|papa|pappa|pascal|Pennsylvania|pop|protactinium|protoactinium|public address system,father|male parent|begetter|metallic element|metal|pressure unit|communication system
waves,wafe,NOUN,3,wafe,,NA
acquired,acquire,VERB,3,acquir,acquire|adopt|assume|develop|evolve|gain|get|grow|larn|learn|produce|take|take on|win,change|situate|locate|get|acquire
ultrasonic,ultrasonic,ADJ,3,ultrason,supersonic|ultrasonic,
transducer,transducer,NOUN,3,transduc,transducer,electrical device
transform,transform,NOUN,3,transform,,NA
